fixedAcidity,volatileAcidity,citricAcid,residualSugar,chlorides,freeSulfurDioxide,totalSulfurDioxide,density,pH,sulphates,alcohol,quality,type
8.734139886,0.629961093,0.170710201,2.844093018,0.100227117,20.85009856,128.6697443,0.998642713,3.09710319,0.521901331,9.319949803,5,Red
5.768148528,0.501336387,0.051019012,2.63616897,0.054968988,36.54996608,150.484728,0.996197062,3.428826936,0.500913621,9.370939737,4,White
7.235406816,0.278318104,0.360998765,1.124075996,0.028948824,41.89647689,108.665824,0.990555484,2.972006846,0.387927733,12.25283033,3,White
5.708969554,0.418153495,0.300818799,2.184376329,0.035919316,26.26024517,141.4486797,0.990871936,3.306599008,0.472034737,12.88072489,4,White
6.480509057,0.221228022,0.320125879,8.004387954,0.02992577,32.44966139,121.6469318,0.995525863,3.378437709,0.390884967,10.16466488,5,White
6.211416797,0.231288565,0.230056923,1.225908936,0.019030632,17.52241762,141.5629503,0.993361184,3.042909957,0.280221188,10.87370872,5,White
10.65783638,0.221319409,0.562917666,8.294560026,0.044982932,36.75377325,190.5340163,0.997869236,2.871020171,0.683761456,9.487864983,4,White
5.580278472,0.341671261,0.25021239,2.535701167,0.047096102,47.11622906,158.3167471,0.993088702,3.220557056,0.400356847,11.24454654,5,White
9.473602975,0.432092733,0.240378652,2.869019639,0.092714435,14.29699048,48.09746971,0.999838123,3.185114998,0.731141358,9.998457687,4,Red
6.195804426,0.253085895,0.540059193,7.130869354,0.047044528,56.25767016,203.4138108,0.995532289,3.198142275,0.699396837,10.41944717,5,White
6.085889754,0.171650907,0.211132151,6.252033797,0.051022935,24.9364324,141.5080825,0.996104333,3.085331988,0.537530419,9.622058917,4,White
8.451119075,0.221940317,0.330826168,1.171225662,0.031996841,35.77964581,104.1147774,0.992547392,2.818533968,0.309438218,10.18512706,5,White
6.594962214,0.159881696,0.569549511,1.075411222,0.130981007,57.64749856,151.9865474,0.995000998,3.11690808,0.390568946,9.358109604,3,White
6.77647913,0.572746429,0.291553008,2.209089567,0.040993719,14.78814498,70.95410333,0.994317913,3.320957917,0.743086849,10.25897618,5,White
6.2885766,0.292612667,0.140804231,7.048632367,0.046116274,53.43264726,193.5555519,0.997128257,3.235301313,0.421870492,9.032523143,5,White
6.619384061,0.329132754,0.24117861,16.5113407,0.045963491,31.59621757,159.919065,1.000159312,3.081755563,0.523739853,9.120118577,5,White
6.000865987,0.282388713,0.269561936,15.73828975,0.036959152,29.73001649,145.5877599,0.995112444,3.188856176,0.440863222,13.01058683,3,White
6.592191782,0.361336733,0.523556611,11.00978007,0.047010005,7.34778285,111.7647924,0.997092716,3.058149782,0.459296479,9.442360942,5,White
7.032218303,0.116438318,0.353060265,5.567717424,0.049005819,37.47669129,116.1151402,0.994912733,3.304153555,0.424611103,10.21658506,4,White
6.818022074,0.373873017,0.51152849,11.36292914,0.045074934,69.18416639,181.072742,0.998791587,3.185606296,0.442429068,8.865613867,5,White
7.628307844,0.259709388,0.250542729,1.739281609,0.038841376,29.62860435,124.7321795,0.993712507,3.463889586,0.559829081,10.27675314,4,White
6.925764488,0.279302868,0.22142158,9.950578188,0.053156957,34.48007345,120.1439561,0.997874495,3.071179401,0.460254555,9.568745278,5,White
7.558717249,0.39078075,0.461067612,11.54622418,0.084918293,56.21398988,180.0692456,0.999368584,2.916027059,0.507600887,9.222830218,5,White
5.94766723,0.290704237,0.251246317,1.415028322,0.03402044,27.79507553,116.9242785,0.98893316,3.099946373,0.429154637,13.16528613,4,White
7.580255669,0.180062988,0.309632652,11.32482107,0.052079588,22.677952,107.7304037,0.998759271,3.181672916,0.439585742,9.458439519,3,White
6.538088182,0.221106176,0.190384842,1.095510257,0.065104287,34.25390325,168.7379217,0.993224944,3.063496519,0.500195803,9.40066925,4,White
5.300243919,0.301980209,0.302396025,1.206429855,0.0299347,27.03036826,103.3731067,0.987687857,3.320356017,0.399736417,13.60878514,3,White
6.616524824,0.272189062,0.331068926,3.615854833,0.035109864,9.184379304,49.32575637,0.992782693,3.073002558,0.399908861,10.40379758,4,White
6.742327545,0.182151294,0.320130241,7.308486547,0.047989891,16.85057298,112.0686583,0.99628796,3.435294892,0.442635944,10.32774517,4,White
6.253115792,0.190862303,0.210834091,1.744748104,0.04989833,35.27947007,170.6493408,0.993339612,3.335860837,0.49978729,10.24855001,4,White
7.460481923,0.220440068,0.269439222,1.617614651,0.057965099,44.36733438,94.30139555,0.993969058,3.300219415,0.439718929,9.774372777,3,White
6.989024306,0.221481556,0.320431922,16.78723473,0.056967907,47.26706692,159.0904847,1.001615948,3.375305428,0.381029785,9.541529905,4,White
6.815890281,0.181213879,0.300284779,13.58105033,0.062786854,19.0496884,185.4145504,0.998966355,3.011032098,0.524082646,8.968134629,3,White
8.289894682,0.343204426,0.489306317,8.016538483,0.046999814,53.57556088,206.6673956,0.997373726,3.08157652,0.523918426,10.65174594,4,White
6.969095162,0.222110335,0.281630452,7.985905993,0.051177773,40.14146598,110.609734,0.994368234,3.232115511,0.601435894,11.50338218,2,White
6.014448243,0.261342991,0.419153148,5.276595361,0.02801134,69.70727413,185.0963925,0.991637514,3.399159255,0.400270688,12.4497214,2,White
7.155001601,0.360751828,0.340205384,14.44048642,0.058111881,44.74974786,184.8674605,0.999174606,3.135002686,0.569073351,10.24428723,5,White
6.505329174,0.180178475,0.410307173,14.36758146,0.03994162,45.10341092,110.4588892,0.996977679,3.271667469,0.722048623,10.3555398,3,White
6.606625654,0.249071546,0.42158625,11.03529065,0.049866004,79.19699036,208.3299879,0.997096707,3.242726216,0.518737055,9.454247813,4,White
5.97836573,0.210549765,0.379561927,0.83894893,0.020936382,21.90329192,94.16008588,0.989662862,3.27415508,0.320072491,11.81304275,4,White
6.670391778,0.239830984,0.411937163,9.489436229,0.041013198,48.78572426,179.3350861,0.997215771,3.099637848,0.613291689,9.773392799,4,White
6.094981832,0.302337279,0.210986842,1.128928362,0.032882589,32.16140927,110.9394122,0.990092542,2.961997037,0.424111786,12.35047164,4,White
6.949030115,0.241096796,0.370896053,7.723383092,0.044051789,58.22468416,207.0598271,0.99662492,3.202641859,0.496530164,9.221906222,4,White
7.23353008,0.211924353,0.290451717,3.170417742,0.04511291,39.98009022,117.0626077,0.992504052,3.008055285,0.603087513,11.41231879,4,White
6.589688673,0.219499814,0.291018778,14.12060949,0.047002685,36.24868298,112.6047191,1.000013331,3.050996492,0.505936422,9.004604508,4,White
8.027624558,0.289425251,0.492729346,6.792661962,0.043053456,22.62428326,140.7259379,0.99539299,3.161441103,0.412017869,10.86255826,4,White
8.59117658,0.552241053,0.090874684,3.288413127,0.068911483,7.987313083,16.00248382,0.998448319,3.231998157,0.438686737,10.12948353,5,Red
7.413379483,0.220603035,0.399110359,14.89737437,0.042932245,43.86848891,124.6743164,1.0008865,3.34119224,0.409022797,9.107031132,3,White
